date,ticker,adj_close,return
2015-02-01,AAPL,28.5132999420166,0.10077681547186446
2015-02-01,ACN,73.72795104980469,0.07140295273392816
2015-02-01,AMZN,19.007999420166016,0.07229288887602481
2015-02-01,AVGO,9.604449272155762,0.24047441795842261
2015-02-01,BRK-B,147.41000366210938,0.024320755409177552
2015-02-01,COST,122.12705993652344,0.06436354105064779
2015-02-01,GOOGL,27.884246826171875,0.046656227340572176
2015-02-01,JNJ,74.80087280273438,0.030832557919472592
2015-02-01,JPM,45.17478561401367,0.12688444111815866
2015-02-01,KO,30.19930076599121,0.05173674289929142
2015-02-01,MA,84.01666259765625,0.09874443256014431
2015-02-01,META,78.28255462646484,0.040310593106706705
2015-02-01,MSFT,37.4066276550293,0.09312028876616663
2015-02-01,NVDA,0.530711829662323,0.15338239556464472
2015-02-01,PEP,69.78377532958984,0.05544907506985797
2015-02-01,PG,61.6851806640625,0.009965685125472135
2015-02-01,TSLA,13.555999755859375,-0.001276991507778158
2015-02-01,UNH,93.98062133789062,0.06945893481326526
2015-02-01,V,62.53545379638672,0.06627058890409021
2015-02-01,WMT,22.54317855834961,-0.012355749934883309
2015-03-01,AAPL,27.618778228759766,-0.03137208653771739
2015-03-01,ACN,76.7252426147461,0.04065339565610171
2015-03-01,AMZN,18.604999542236328,-0.021201593551299025
2015-03-01,AVGO,9.584492683410645,-0.0020778483158814254
2015-03-01,BRK-B,144.32000732421875,-0.020961917516625683
2015-03-01,COST,125.89990234375,0.030892763726462658
2015-03-01,GOOGL,27.491228103637695,-0.014094650825042021
2015-03-01,JNJ,73.40717315673828,-0.018632130799751123
2015-03-01,JPM,44.65876770019531,-0.011422697569112183
2015-03-01,KO,28.51599884033203,-0.05573976492710131
2015-03-01,MA,80.53032684326172,-0.04149576579934022
2015-03-01,META,81.50426483154297,0.04115489358326285
2015-03-01,MSFT,34.685401916503906,-0.07274715495930373
2015-03-01,NVDA,0.5035264492034912,-0.051224372511404326
2015-03-01,PEP,67.86661529541016,-0.027472862067506543
2015-03-01,PG,59.37370300292969,-0.03747217137485781
2015-03-01,TSLA,12.584667205810547,-0.07165333192256695
2015-03-01,UNH,98.16213989257812,0.04449341252654193
2015-03-01,V,60.30659103393555,-0.03564158612661983
2015-03-01,WMT,22.224624633789062,-0.01413083446666663
2015-04-01,AAPL,27.77859878540039,0.0057866628029983325
2015-04-01,ACN,76.68500518798828,-0.0005244353147223491
2015-04-01,AMZN,21.089000701904297,0.13351256225666064
2015-04-01,AVGO,8.822144508361816,-0.0795397524136402
2015-04-01,BRK-B,141.2100067138672,-0.0215493379470586
2015-04-01,COST,119.20297241210938,-0.05319249504543466
2015-04-01,GOOGL,27.19733428955078,-0.010690457806358467
2015-04-01,JNJ,72.38557434082031,-0.01391687994491575
2015-04-01,JPM,46.94438934326172,0.05117968454504429
2015-04-01,KO,28.52303123474121,0.0002466122420805572
2015-04-01,MA,84.24555969238281,0.04613458053327091
2015-04-01,META,78.08428955078125,-0.041960691110217274
2015-04-01,MSFT,41.492801666259766,0.1962612330727176
2015-04-01,NVDA,0.5340798497200012,0.06067883934367546
2015-04-01,PEP,67.5117416381836,-0.0052289871195412285
2015-04-01,PG,58.076351165771484,-0.021850613513093253
